Front;Back
Entity Resolution;identifying and linking/grouping different representations of the same real-world object
Data Reduction;Obtain a reduced representation of the dataset
Principal Component Analysis (PCA);Dimensionality reduction by finding a projection that captures the largest amount of variation in data. Works for numeric data only.
Attribute Subset Selection;Dimensionality reduction by removing redundant attributes and removing irrelevant attributes
Model-Based Data Reduction;Data reduction by modeling to a straight line (linear regression, multiple regression, log-linear model)
Histogram for Data Reduction;Divide data into buckets and store the average for each bucket
Clustering-Based Data Reduction;Partition dataset into clusters based on similarity, and store cluster representation
Sampling-Based Data Reduction;Obtain a small sample to represent the whole dataset
Types of sampling;Simple random sampling, Sampling without replacement, Sampling with replacement, Stratified sampling
Simple random sampling;Equal probability of selecting any particular item
Sampling without replacement;Once an object is selected, it is removed from the population
Sampling with replacement;A selected object is not removed from the population
Stratified sampling / Cluster sampling;Partition the dataset, and draw samples from each partition. Used in conjunction with skewed data.
Concept Hierarchy Generation;Each level of the hierarchy represents a concept that is more general than the level below it. Some hierarchies can be automatically generated based on the analysis of the number of distinct values per attribute in the data set
Data Discretization;Divide the range of a continuous attribute into intervals
Data Discretization Methods;Binning, Clustering, Classification, Correlation
5Vs of Big Data;Big Data Characteristics: Volume, Variety, Velocity, Veracity, Value
Big Data: Volume;Volume of data that needs to be processed is increasing rapidly
Big Data: Variety;Various formats, types, and structures
Big Data: Velocity;Data is generated fast and hence needs fast processing
Big Data: Veracity;Consistency, accuracy, quality, and trustworthiness
Big Data: Value;Useful data in form of unique insights
Cloud Computing;A compilation of technologies, packaged within a infrastructure paradigm that offers improved scalability, elasticity, business agility, faster startup time, reduced management costs and just-in-time availability of resources
Characteristic Pillars of Cloud Computing;Efficiency, Accessibility, Ultra-Reliability, On-demand, Elasticity, Scalability, Sustainability
Cloud Deployment Models;Public Cloud, Private Cloud, Hybrid Cloud, Community Cloud
Public Cloud;Cloud infrastructure available to all, owned by a large organisation responsible for control of data and operations
Private Cloud;Cloud infrastructure for and managed by the organisation or a third party
Hybrid Cloud;A combination of two or more public and private clouds federated by standardised protocol
Community Cloud;Cloud infrastructure shared by several organisations with similar business goals
Infrastructure-as-a-Service (IaaS);Provider controls the infrastructure (servers, storage, networking, etc.), Customer Controls applications, security, databases, etc.
Platform-as-a-Service (PaaS);Provider controls the platform, Customer controls the applications they run on the platform
Software-as-a-Service (SaaS);Provider controls everything, customer consumes the software
Grammar of Graphics;Map raw data to: Aesthetics, Geometric objects, Scales, Facets. Additionaly can apply: Statistical transformation, Coordinate system
Aesthetics in the Grammar of Graphics;Position, Shape, Color, etc.
Geometric objects in the Grammar of Graphics;Point, Lines, Bars, etc.
Scales in the Grammar of Graphics;Continuous, Discrete, etc.
Facets in the Grammar of Graphics;Small multiples (subplots)
Statistical transformation in the Grammar of Graphics;Identity, Binning, Median, etc.
Coordinate system in the Grammar of Graphics;Cartesian, Polar, Parallel, etc.
Tufte data to ink ratio principle;"The ratio between the amount of information the plot shows and the amount of ""ink"" being used, principle is to maximize this ratio (within reason)"
